section,claim,quantity,value,source,note
5.6 benchmarks,achieved individual-level recovery as a share of the ceiling,achieved / ceiling,20.4%,pooled_within_r_by_item.csv + ceiling_by_variable.csv,"numerator 0.0429 = pooled within-country r per item, median over items — the SAME estimator as the ceiling. Averaging the per-country correlations instead is not like-for-like, because averaging correlations attenuates relative to pooling; see analyze_v13c output for the alternative aggregations. Never use r_ind as the numerator: it carries between-country covariance."
4.5 robustness,the weighting of the human benchmark does not change conclusions,max item-level |dr| weighted vs unweighted,0.103,weight_robustness.csv,"largest mover: health; report this, not only the cross-item correlation"
4.5 robustness,coverage of scheduled responses,qwen_1p valid human-model intersection,97.74%,coverage_by_condition.csv,
4.5 robustness,third-person framing fails on long scales for Llama,llama_3p silicon parse rate,77.28%,coverage_by_condition.csv,concentrated on 0-10 items; treat llama_3p estimates as provisional
4.x anchoring experiment,verbal anchors reverse the inverted items,"DiD, raw correlation scale",0.8458,anchored_did_real_noise.csv,"reverse n=10, control n=6"
4.x anchoring experiment,empirical repeated-run noise floor,median |dr| between two unseeded runs,0.0602,anchored_did_real_noise.csv,closes the manuscript limitation that run-to-run stability was untested
4.x anchoring experiment,empirical repeated-run noise floor,max |dr| between two unseeded runs,0.1854,anchored_did_real_noise.csv,
4.x anchoring experiment,verbal anchors reverse the inverted items (primary specification),"DiD, Fisher z scale",1.0069,anchored_did_fisherz.csv,"95% CI [+0.5788, +1.4114]; 9/10 up; baseline = replicate (22-item batch, matches anchored)"
4.x anchoring experiment,anchoring does not inflate correlations in general,placebo mean signal (z),0.0289,anchored_did_fisherz.csv,long-scale forward items with endpoint-only anchors
4.x anchoring experiment,the DiD survives including the pre-excluded items,"DiD (z), all 12 reverse items",0.8499,anchored_did_fisherz.csv,"95% CI [+0.4562, +1.2441]; SAME baseline as the primary (replicate (22-item batch, matches anchored)), so this varies only the exclusion set"
4.x anchoring experiment,sensitivity to the choice of numeric baseline,"DiD (z), 42-item-batch baseline, pre-declared exclusions",0.9675,anchored_did_fisherz.csv,"the raw-scale DiD reported above uses this same baseline, so compare raw and z within a baseline, never across"
4.x 2x2 country x anchoring,"country effect on forward items, numeric scales","MEAN country effect (z), forward, numeric",0.1527,twoxtwo_country_effect.csv,"9/10 improved; estimator = mean, matching the triple difference so the four cells reconstruct it"
4.x 2x2 country x anchoring,"country effect on forward items, numeric scales (robustness)","median country effect (z), forward, numeric",0.1588,twoxtwo_country_effect.csv,robust alternative to the mean above
4.x 2x2 country x anchoring,"country effect on reverse items, numeric scales","MEAN country effect (z), reverse, numeric",-0.2417,twoxtwo_country_effect.csv,"1/10 improved; estimator = mean, matching the triple difference so the four cells reconstruct it"
4.x 2x2 country x anchoring,"country effect on reverse items, numeric scales (robustness)","median country effect (z), reverse, numeric",-0.1557,twoxtwo_country_effect.csv,robust alternative to the mean above
4.x 2x2 country x anchoring,"country effect on forward items, anchored scales","MEAN country effect (z), forward, anchored",0.215,twoxtwo_country_effect.csv,"10/10 improved; estimator = mean, matching the triple difference so the four cells reconstruct it"
4.x 2x2 country x anchoring,"country effect on forward items, anchored scales (robustness)","median country effect (z), forward, anchored",0.196,twoxtwo_country_effect.csv,robust alternative to the mean above
4.x 2x2 country x anchoring,"country effect on reverse items, anchored scales","MEAN country effect (z), reverse, anchored",0.2435,twoxtwo_country_effect.csv,"8/10 improved; estimator = mean, matching the triple difference so the four cells reconstruct it"
4.x 2x2 country x anchoring,"country effect on reverse items, anchored scales (robustness)","median country effect (z), reverse, anchored",0.1437,twoxtwo_country_effect.csv,robust alternative to the mean above
4.x 2x2 country x anchoring,anchoring removes the country label's asymmetry between forward and reverse items (single interacting mechanism),"triple difference (z), no exclusions (n=12)",0.4912,twoxtwo_triple_difference.csv,"all reverse items in batch (n=12); 95% CI [+0.1515, +0.8809]; 11/12 reverse items moved up"
4.x 2x2 country x anchoring,the gap behaves differently from the interaction,"gap (z), no exclusions (n=12)",+0.4182 -> -0.0730,twoxtwo_triple_difference.csv,overshot (sign flip); narrowed 117%
4.x 2x2 country x anchoring,anchoring removes the country label's asymmetry between forward and reverse items (single interacting mechanism),"triple difference (z), primary (pre-declared, n=10)",0.423,twoxtwo_triple_difference.csv,"analysable reverse items, pre-declared exclusions (n=10); 95% CI [+0.1259, +0.7928]; 10/10 reverse items moved up"
4.x 2x2 country x anchoring,the gap behaves differently from the interaction,"gap (z), primary (pre-declared, n=10)",+0.3944 -> -0.0286,twoxtwo_triple_difference.csv,eliminated (within noise); narrowed 107%
4.x 2x2 country x anchoring,anchoring removes the country label's asymmetry between forward and reverse items (single interacting mechanism),"triple difference (z), most conservative (n=8)",0.1636,twoxtwo_triple_difference.csv,"further excluding freehms and hmsacld (n=8); 95% CI [+0.0507, +0.2671]; 8/8 reverse items moved up"
4.x 2x2 country x anchoring,the gap behaves differently from the interaction,"gap (z), most conservative (n=8)",+0.2709 -> +0.1073,twoxtwo_triple_difference.csv,narrowed but SURVIVES; narrowed 60%
4.x 2x2 country x anchoring,the triple difference is same-signed under robust estimators,"triple difference (z), median of the per-item differences",0.2707,twoxtwo_triple_difference.csv,'median-based' is ambiguous; these two are different estimators and both are reported so a quoted figure can be identified
4.x 2x2 country x anchoring,the triple difference is same-signed under robust estimators,"triple difference (z), difference of the medians",0.2622,twoxtwo_triple_difference.csv,'median-based' is ambiguous; these two are different estimators and both are reported so a quoted figure can be identified
4.x 2x2 country x anchoring,the forward-minus-reverse gap in the country effect is eliminated,gap (z): numeric -> anchored,+0.3944 -> -0.0286,twoxtwo_triple_difference.csv,"the anchored value is within noise of zero; read as eliminated, not reversed"
5.6 benchmarks,a public macro covariate with coarse region dummies outranks the model,"median r: model vs log GDP + region, current USD",+0.4433 vs +0.6177,gdp_arm_summary.csv,"primary deflator is NY.GDP.PCAP.CD, named in the pipeline documentation before results were seen, and the weaker of the two comparators"
5.6 benchmarks,and beats it on level accuracy on every item,"median nMAE: model vs log GDP + region, current USD",0.1796 vs 0.0522,gdp_arm_headtohead.csv,the model wins on 0/42 items on nMAE and 13/42 on r
5.6 benchmarks,the comparison is unchanged under a PPP deflator,"median r and nMAE, log GDP + region, PPP",+0.6317 / 0.0527,gdp_arm_summary.csv,"robustness deflator NY.GDP.PCAP.PP.CD; slightly STRONGER than the primary, so the primary is the conservative choice"
5.6 benchmarks,one covariate alone does NOT suffice; the verdict depends on the deflator,"median r, log GDP only, USD then PPP",+0.5888 / +0.5450,gdp_arm_decomposition.csv,"against the regional mean arm's +0.5542: the covariate-alone specification wins under one deflator and loses under the other, so only the combined specification is claimed"
4.5 robustness,the benchmark comparison survives excluding the one country whose bloc is unidentified out of sample,"median r, log GDP + region, excluding Israel",+0.6741,gdp_arm_summary.csv,"Israel is the only bloc of one; every arm including the model's own r_bc is recomputed on the 29-country sample, so the row is like for like"
4.5 robustness,the two comparator arms apply different rules to a bloc of one,"Israel's range-normalised error, regression vs region mean",0.0708 vs 0.0443,gdp_il_identification.csv,the regression predicts the reference category once the dummy vanishes; the regional average falls back to the all-other-countries mean. Report the asymmetry rather than harmonising it silently
